_value,_id,__text
1,filter-player-lifecoach,Lifecoach
2,filter-player-wampie,Wampie
3,filter-player-kolento,Kolento
4,filter-player-alesh,Alesh
5,filter-player-duckwingface,DuckWingFace
6,filter-player-tidesoftime,TidesofTime
7,filter-player-kitkatz,Kitkatz
8,filter-player-reynad,Reynad
9,filter-player-archon-the-wizard,Archon the Wizard
10,filter-player-beherit,Beherit
11,filter-player-twixsen,Twixsen
12,filter-player-athene,Athene
13,filter-player-ben-brode,Ben Brode
14,filter-player-frezzar,Frezzar
15,filter-player-mitjdw,mitjdw
16,filter-player-backspace,Backspace
17,filter-player-kibler,Kibler
18,filter-player-reckful,Reckful
19,filter-player-tom60229,Tom60229
20,filter-player-locodoco,Locodoco
21,filter-player-moonstar,Moonstar
22,filter-player-frozenice,FrozenIce
23,filter-player-strifecro,StrifeCro
24,filter-player-frodan,Frodan
25,filter-player-sp0h,Sp0h
26,filter-player-alchemixt,Alchemixt
27,filter-player-dtwo,DTwo
28,filter-player-danielctin14,Danielctin14
29,filter-player-artosis,Artosis
30,filter-player-dog,Dog
31,filter-player-rdu,Rdu
32,filter-player-dethelor,Dethelor
33,filter-player-kowfox,KowFox
35,filter-player-era,ErA
36,filter-player-doa,DoA
38,filter-player-genius,Genius
39,filter-player-evilsourcegaming,EvilSourceGaming
40,filter-player-numberguy,Numberguy
42,filter-player-fraser,Fraser
43,filter-player-fuoliver,fuoliver
44,filter-player-cipher,Cipher
45,filter-player-hyped,Hyped
46,filter-player-kranich,Kranich
47,filter-player-powder,Powder
48,filter-player-massan,MaSsan
49,filter-player-pinpingho,Pinpingho
50,filter-player-magicamy,MagicAmy
52,filter-player-bioice,Bioice
53,filter-player-chu8,Chu8
54,filter-player-karma,Karma
55,filter-player-lothar,Lothar
56,filter-player-2gd,2GD
57,filter-player-firebat,Firebat
58,filter-player-greensheep,Greensheep
59,filter-player-faramir,Faramir
61,filter-player-ek0p,ek0p
62,filter-player-savjz,Savjz
63,filter-player-amaz,Amaz
64,filter-player-sjow,SjoW
65,filter-player-tarei,Tarei
66,filter-player-trump,Trump
68,filter-player-symetrik,symetrik
69,filter-player-darkwonyx,Darkwonyx
70,filter-player-fr0zen,Fr0zen
71,filter-player-totalbiscuit,TotalBiscuit
72,filter-player-orange,Orange
74,filter-player-impact,Impact
76,filter-player-reniehour,RenieHouR
77,filter-player-surrender,Surrender
78,filter-player-jab,JAB
79,filter-player-kaldi,Kaldi
80,filter-player-noxious,Noxious
81,filter-player-chakki,Chakki
84,filter-player-karlis,Karlis
85,filter-player-blackout,Blackout
